app_id,tag
3170,Hex Grid
3170,RPG
3170,Strategy
3170,Tactical
3170,Tactical RPG
3170,Turn-Based
3170,Turn-Based Combat
3170,Turn-Based Strategy
3230,Real-Time Strategy
3230,Strategy
3260,Adventure
3260,Point & Click
3260,Puzzle
3270,Action
3270,FPS
3270,Shooter
3300,Match 3
3300,Puzzle
3310,Match 3
3310,Puzzle
3320,Action
3320,Clicker
3320,Point & Click
3320,Simulation
3320,Strategy
3330,Action
3330,Arcade
3330,Match 3
3330,Puzzle
3330,Shooter
3330,Strategy
3340,Puzzle
3350,Match 3
3350,Puzzle
3360,Arcade
3360,Match 3
3360,Puzzle
3380,Match 3
3380,Puzzle
3390,Arcade
3410,Action
3410,Arcade
3410,Bullet Hell
3410,Shoot 'Em Up
3450,Typing
3460,Puzzle
3480,Arcade
3480,Pinball
3480,Puzzle
3480,Strategy
3483,Action
3483,Arcade
3483,Puzzle
3500,Hidden Object
3510,Hidden Object
3510,Puzzle
3520,Heist
3520,Hidden Object
3520,Point & Click
3520,Puzzle
3530,Hidden Object
3530,Puzzle
3540,Puzzle
3560,Match 3
3560,Puzzle
3560,Strategy
3570,Hidden Object
3580,Hidden Object
3580,Puzzle
3600,Adventure
3600,Hidden Object
3600,Point & Click
3600,Puzzle
3610,Hidden Object
3620,Action
3620,Match 3
3620,Puzzle
3700,Action
3700,FPS
3700,Shooter
3700,Simulation
3700,Sniper
3700,Stealth
3700,Tactical
3700,Third-Person Shooter
3710,Action
3710,Comic Book
3710,Dystopian
3710,FPS
3710,Shooter
3720,Base Building
3720,Building
3720,God Game
3720,Management
3720,Real-Time Strategy
3720,Sandbox
3720,Simulation
3720,Strategy
3730,Action
3730,FPS
3730,Shooter
3730,Stealth
3730,Survival
3800,Action
3800,Third-Person Shooter
3810,Action
3810,Hack and Slash
3810,Third-Person Shooter
3820,Action
3820,Hack and Slash
3830,3D Platformer
3830,Action
3830,Action-Adventure
3830,Adventure
3830,Collectathon
3830,Platformer
3830,Surreal
3838,Action
3900,4X
3900,Economy
3900,Grand Strategy
3900,Management
3900,Resource Management
3900,Simulation
3900,Strategy
3900,Tactical
3900,Turn-Based
3900,Turn-Based Strategy
3910,4X
3910,Alternate History
3910,City Builder
3910,Diplomacy
3910,Grand Strategy
3910,Simulation
3910,Strategy
3910,Turn-Based
3910,Turn-Based Strategy
3920,Action
3920,Adventure
3920,Economy
3920,Fighting
3920,Naval Combat
3920,RPG
3920,Sailing
3920,Sandbox
3920,Strategy
3920,Trading
3960,Strategy
3960,Turn-Based Strategy
3980,City Builder
3980,Sandbox
3980,Simulation
3980,Strategy
3990,4X
3990,Strategy
3990,Turn-Based
3990,Turn-Based Strategy
4100,Card Game
4100,Gambling
4100,Strategy
4230,Automobile Sim
4230,Driving
4230,Racing
4230,Simulation
4300,Action
4300,Puzzle
4420,Action
4420,Action RPG
4420,Hack and Slash
4420,RPG
4460,City Builder
4460,Simulation
4460,Strategy
4470,Action
4470,Action RPG
4470,Hack and Slash
4470,RPG
4500,Action
4500,Adventure
4500,FPS
4500,Inventory Management
4500,RPG
4500,Shooter
4500,Survival
4500,Survival Horror
4520,Action
4520,Real-Time Tactics
4520,Simulation
4520,Strategy
4520,Tactical
4530,Action
4530,Strategy
4530,Tactical
4560,Action
4560,Adventure
4560,Base Building
4560,Real-Time Strategy
4560,Simulation
4560,Strategy
4560,Tactical
4560,Tanks
4570,Action
4570,Base Building
4570,Real-Time Strategy
4570,Strategy
4570,Tactical
4580,Action
4580,Adventure
4580,Base Building
4580,Real-Time Strategy
4580,Strategy
4580,Tactical
4700,4X
4700,Action
4700,Grand Strategy
4700,Real-Time Strategy
4700,Real-Time Tactics
4700,Sandbox
4700,Simulation
4700,Strategy
4700,Tactical
4700,Turn-Based
4700,Turn-Based Strategy
4720,Action
4720,Beat 'em up
4720,FPS
4720,Shooter
4720,Survival
4720,Survival Horror
4720,Thriller
4760,4X
4760,Action
4760,Grand Strategy
4760,Real-Time Strategy
4760,Real-Time Tactics
4760,Simulation
4760,Strategy
4760,Tactical
4760,Turn-Based
4760,Turn-Based Strategy
4770,Grand Strategy
4770,Real-Time Strategy
4770,Strategy
4770,Tactical
4770,Turn-Based
4770,Turn-Based Strategy
4780,Grand Strategy
4780,Real-Time Strategy
4780,Strategy
4780,Turn-Based
4780,Turn-Based Strategy
4800,RPG
4800,Real-Time Strategy
4800,Strategy
4850,Real-Time Strategy
4850,Strategy
4856,Strategy
4870,Base Building
4870,CRPG
4870,Economy
4870,Grand Strategy
4870,Gun Customization
4870,Party-Based RPG
4870,RPG
4870,Real-Time Strategy
4870,Strategy
4870,Strategy RPG
4870,Turn-Based Combat
4870,Turn-Based Tactics
4870,Wargame
4880,Real-Time Strategy
