app_id,name,community_id,community_size
33680,eversion,0,4728
33770,Drakensang: The River of Time,0,4728
33780,Drakensang - Phileasson's Secret,0,4728
33950,Fish Fillets 2,0,4728
33980,Pound of Ground,0,4728
33990,Alternativa,0,4728
34420,XIII Century – Gold Edition,0,4728
34500,Light of Altair,0,4728
34810,Project Freedom,0,4728
34920,Razor2: Hidden Skies,0,4728
35070,Flora's Fruit Farm,0,4728
35300,Warfare,0,4728
35310,Clutch,0,4728
35320,Insane 2,0,4728
35460,The Ball,0,4728
35480,Dwarfs!?,0,4728
35600,Big Brain Wolf,0,4728
36000,Foreign Legion: Buckets of Blood,0,4728
37000,The Void,0,4728
37400,Time Gentlemen Please! and Ben There Dan That! Special Edition  Double Pack,0,4728
37500,Magnetis,0,4728
37600,Windosill,0,4728
38120,Farm Frenzy,0,4728
38130,Farm Frenzy 2,0,4728
38170,Cradle of Rome,0,4728
38210,Roogoo,0,4728
38430,Kingpin — Life of Crime,0,4728
38440,Sacrifice,0,4728
38450,MDK,0,4728
38460,MDK 2,0,4728
38480,Earthworm Jim,0,4728
38490,Earthworm Jim 2,0,4728
38600,Faerie Solitaire,0,4728
38700,Toki Tori,0,4728
38720,RUSH,0,4728
38740,EDGE,0,4728
39630,AquaNox,0,4728
39640,AquaNox 2: Revelation,0,4728
39670,Chaser,0,4728
40380,nail'd,0,4728
40420,Tidalis,0,4728
40930,The Misadventures of P.B. Winterbottom,0,4728
41100,Hammerfight,0,4728
41300,Altitude,0,4728
41600,Earthworm Jim 3D,0,4728
41730,Ion Assault,0,4728
41740,Cargo! The Quest for Gravity,0,4728
41800,Gratuitous Space Battles,0,4728
41900,The Bard's Tale ARPG: Remastered and Resnarkled,0,4728
42120,Lead and Gold: Gangs of the Wild West,0,4728
42140,Hamilton's Great Adventure,0,4728
42170,Krater,0,4728
42500,DogFighter,0,4728
43000,Front Mission Evolved,0,4728
43100,World of Zoo,0,4728
43190,The Haunted: Hells Reach,0,4728
44100,Super Laser  Racer,0,4728
44600,GTR - FIA GT Racing Game,0,4728
45000,Sol Survivor,0,4728
45100,Secret of the Magic Crystals,0,4728
45300,Wings of Prey,0,4728
45400,Fortix,0,4728
45410,Ignite,0,4728
45450,Fortix 2,0,4728
45720,Lost Planet: Extreme Condition Colonies Edition,0,4728
45730,Dark Void™ Zero,0,4728
46000,Bob Came in Pieces,0,4728
46200,A.I.M. Racing,0,4728
46250,NecroVisioN: Lost Company,0,4728
46400,Greed: Black Border,0,4728
46410,Avencast: Rise of the Mage,0,4728
46440,Future Wars,0,4728
46450,Grotesque Tactics: Evil Heroes,0,4728
46520,Wasteland Angel,0,4728
46540,Trapped Dead,0,4728
46570,Grotesque Tactics 2 – Dungeons and Donuts,0,4728
46600,Swarm Arena,0,4728
46730,Hazen: The Dark Whispers,0,4728
46740,World Basketball Manager 2010,0,4728
48950,Greed Corp,0,4728
49800,Flight of the Icarus,0,4728
49810,CreaVures,0,4728
49900,Plain Sight,0,4728
50000,Nimbus,0,4728
50510,Burn Zombie Burn!,0,4728
55000,Flotilla,0,4728
55040,Atom Zombie Smasher,0,4728
57000,NyxQuest: Kindred Spirits,0,4728
57200,Puzzle Dimension,0,4728
57600,Tropico 3: Absolute Power,0,4728
57650,Dungeons,0,4728
57680,The First Templar - Steam Special Edition,0,4728
57700,Who's That Flying?!,0,4728
57800,Doc Clock: The Toasted Sandwich of Time,0,4728
58200,Jolly Rover,0,4728
58230,MacGuffin's Curse,0,4728
58400,Turba,0,4728
58550,A Game of Thrones - Genesis,0,4728
60350,Glowfish,0,4728
60800,Numen: Contest of Heroes,0,4728
61100,Lucid,0,4728
61310,Fractal: Make Blooms Not War,0,4728
61500,Age of Wonders,0,4728
61510,Age of Wonders II: The Wizard's Throne,0,4728
61520,Age of Wonders Shadow Magic,0,4728
61600,Zen Bound 2,0,4728
61730,Critter Crunch,0,4728
62000,Flight Control HD,0,4728
62100,Chime,0,4728
63000,HOARD,0,4728
63200,Monday Night Combat,0,4728
63500,Swords and Soldiers HD,0,4728
63700,BIT.TRIP BEAT,0,4728
63800,Delve Deeper,0,4728
63900,Fantasy Wars,0,4728
65070,Ride 'em Low,0,4728
65080,Kaptain Brawe: A Brawe New World,0,4728
65400,Archon Classic,0,4728
67000,The Polynomial - Space of the music,0,4728
70100,Hacker Evolution,0,4728
70110,Hacker Evolution: Untold,0,4728
70120,Hacker Evolution Duality,0,4728
70200,Governor of Poker 2,0,4728
70210,Governor of Poker 2 - Premium Edition,0,4728
70420,Chantelise - A Tale of Two Sisters,0,4728
70500,Diamond Dan,0,4728
70620,Worms Crazy Golf,0,4728
70640,Worms,0,4728
70650,Worms Blast,0,4728
70660,Worms Pinball,0,4728
71390,Virtua Tennis 4™,0,4728
72000,Closure,0,4728
72400,Clones,0,4728
72900,Winter Voices,0,4728
73020,Majesty 2 Collection,0,4728
80200,Fate of the World,0,4728
80300,Puzzle Bots,0,4728
90400,Blue Toad Murder Files™: The Mysteries of Little Riddle,0,4728
91100,SkyDrift,0,4728
91200,Anomaly: Warzone Earth,0,4728
91800,Cloning Clyde,0,4728
91900,Post Apocalyptic Mayhem,0,4728
92100,DETOUR,0,4728
92300,A.R.E.S.: Extinction Agenda,0,4728
92600,Xotic,0,4728
92700,Shadow Harvest: Phantom Ops,0,4728
92900,Agricultural Simulator 2011: Extended Edition,0,4728
93200,Revenge of the Titans,0,4728
94000,Dinner Date,0,4728
94590,Puzzle Agent 2,0,4728
94620,Hector: Badge of Carnage - Full Series,0,4728
95300,Capsized,0,4728
95700,The Cat and the Coup,0,4728
95900,Air Conflicts: Secret Wars,0,4728
96100,Defy Gravity Extended,0,4728
96200,Steel Storm: Burning Retribution,0,4728
96800,Nexuiz,0,4728
97000,Solar 2,0,4728
97110,Kohan: Immortal Sovereigns,0,4728
97120,Kohan: Ahriman's Gift,0,4728
97130,Kohan II: Kings of War,0,4728
98100,Trauma,0,4728
98500,Naval Warfare,0,4728
98600,Demolition Inc.,0,4728
98900,Alien Hallway,0,4728
99100,Dungeons and Dragons: Daggerdale,0,4728
99120,Yar's Revenge,0,4728
99400,Garshasp: The Monster Slayer,0,4728
99410,Garshasp: Temple of the Dragon,0,4728
99700,NightSky,0,4728
102200,Runespell: Overture,0,4728
102810,Gatling Gears,0,4728
102850,Warp,0,4728
104000,iBomber Defense,0,4728
104020,Storm in a Teacup,0,4728
104100,Inside a Star-filled Sky,0,4728
104200,BEEP,0,4728
104600,Portal 2 - The Final Hours,0,4728
105100,Lume,0,4728
105300,Critical Mass,0,4728
105420,Ms. Splosion Man,0,4728
105700,Tobe's Vertical Adventure,0,4728
105800,PixelJunk™ Eden,0,4728
107300,Breath of Death VII,0,4728
107310,Cthulhu Saves the World,0,4728
107600,Waves,0,4728
108500,Vessel,0,4728
108700,Death Rally,0,4728
109200,Legend of Fae,0,4728
109500,Fowl Space,0,4728
109700,Achron,0,4728
110400,inMomentum,0,4728
110600,Astro Tripper,0,4728
110610,Alien Zombie Megadeath,0,4728
110630,Mutant Storm: Reloaded,0,4728
111100,Snuggle Truck,0,4728
111400,Bunch of Heroes,0,4728
111600,Serious Sam Double D XXL,0,4728
111800,Blocks That Matter,0,4728
112100,Avadon: The Black Fortress,0,4728
115110,Stacking,0,4728
115120,Iron Brigade,0,4728
116100,Super Toy Cars,0,4728
116120,Lightfish,0,4728
200020,Global Ops: Commando Libya,0,4728
200130,Puzzler World 2,0,4728
200150,Battle Chess: Game of Kings™,0,4728
200190,Sideway™ New York,0,4728
200370,A Game of Dwarves,0,4728
200390,Oil Rush,0,4728
200550,Dungeons - The Dark Lord,0,4728
200670,Disciples III - Resurrection,0,4728
200910,Before the Echo,0,4728
200960,Geneforge 1,0,4728
200980,Geneforge 2,0,4728
200990,Geneforge 3,0,4728
201010,Geneforge 5: Overthrow,0,4728
201070,Revelations 2012,0,4728
201290,Sins of a Solar Empire: Trinity®,0,4728
201420,Toki Tori 2+,0,4728
201480,Serious Sam: The Random Encounter,0,4728
201570,Really Big Sky,0,4728
202130,Impire,0,4728
202370,Scary Girl,0,4728
202410,Scoregasm,0,4728
202710,Demigod,0,4728
202730,Dynamite Jack,0,4728
203210,Titan Attacks!,0,4728
203510,Fortune Summoners,0,4728
203560,Containment: The Zombie Puzzler,0,4728
203630,Warlock - Master of the Arcane,0,4728
203990,SATAZIUS,0,4728
204180,Waveform,0,4728
204220,Snapshot,0,4728
204390,Pineapple Smash Crew,0,4728
204440,Pickers,0,4728
204560,Confrontation,0,4728
204630,Retro City Rampage™ DX,0,4728
205020,Lumino City,0,4728
205060,BIT.TRIP CORE,0,4728
205070,BIT.TRIP VOID,0,4728
205080,BIT.TRIP FATE,0,4728
205530,Gratuitous Tank Battles,0,4728
205550,Foreign Legion: Multi Massacre,0,4728
205690,1000 Amps,0,4728
205730,Insanely Twisted Shadow Planet,0,4728
205830,Luxor Evolved,0,4728
205870,Auditorium,0,4728
206020,Avernum 4,0,4728
206230,Clan of Champions,0,4728
206250,Cladun X2,0,4728
206370,Tales From Space: Mutant Blobs Attack,0,4728
206690,iBomber Defense Pacific,0,4728
207000,Alien Spidy,0,4728
207020,Bang Bang Racing,0,4728
207040,Sine Mora,0,4728
207190,Fireburst,0,4728
207250,Cubemen,0,4728
207420,Wizorb,0,4728
207430,Hack Slash Loot,0,4728
207530,Noitu Love 2: Devolution,0,4728
207570,English Country Tune,0,4728
207650,A Virus Named TOM,0,4728
207710,Bumbledore,0,4728
207730,Arena Wars 2,0,4728
207750,Symphony,0,4728
207930,Sacred Citadel,0,4728
208400,Avernum: Escape From the Pit,0,4728
208460,Tryst,0,4728
209060,Drunken Robot Pornography,0,4728
209190,Stealth Bastard Deluxe,0,4728
209330,A Valley Without Wind,0,4728
209360,All Zombies Must Die!: Scorepocalypse,0,4728
209540,Strike Suit Zero,0,4728
209610,Roller Coaster Rampage,0,4728
209630,Magrunner: Dark Pulse,0,4728
209690,Fieldrunners,0,4728
209730,R.A.W. Realms of Ancient War,0,4728
209750,Cannon Fodder 3,0,4728
209790,Splice,0,4728
209830,Lone Survivor: The Director's Cut,0,4728
209950,Triple Town,0,4728
210170,Spirits,0,4728
210950,Rune Classic,0,4728
211070,Check vs Mate,0,4728
211180,Unmechanical,0,4728
211280,Primal Fears,0,4728
211360,Offspring Fling!,0,4728
211440,Adventures of Shuggy,0,4728
211580,Wanderlust: Rebirth,0,4728
211970,Test Drive: Ferrari Racing Legends,0,4728
212010,Galaxy on Fire 2™ Full HD,0,4728
212030,Kung Fu Strike - The Warrior's Rise,0,4728
212110,Sugar Cube: Bittersweet Factory,0,4728
212410,Inversion™,0,4728
212700,Party of Sin,0,4728
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,0,4728
213350,MDK2 HD,0,4728
214150,Galactic Civilizations® I: Ultimate Edition,0,4728
214360,Tower Wars,0,4728
214550,Eets Munchies,0,4728
214570,ETHER VAPOR Remaster,0,4728
214590,Fairy Bloom Freesia,0,4728
214700,Thirty Flights of Loving,0,4728
214790,The Basement Collection,0,4728
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,0,4728
214970,Intrusion 2,0,4728
215550,Zombie Playground™,0,4728
215630,Demonicon,0,4728
215670,Home,0,4728
215710,Fieldrunners 2,0,4728
215770,Shad'O,0,4728
