projection,threshold,n_nodes,n_edges,edge_retention_pct,avg_degree,n_components,giant_component_size,giant_component_pct,n_isolated_games,weight_min,weight_max,weight_avg,weight_q25,weight_median,weight_q75,weight_q90,weight_q99,weight_sample_size
catalog,0.2,22708,43574659,100.0,3837.8245,1,22708,100.0,0,0.2,1.0,0.294745,0.214286,0.25,0.333333,0.428571,0.75,100000
catalog,0.25,22708,27905434,64.0405,2457.7624,1,22708,100.0,0,0.25,1.0,0.343754,0.25,0.3,0.375,0.5,0.8,100000
catalog,0.3,22708,14973542,34.363,1318.79,3,22706,99.9912,2,0.3,1.0,0.415627,0.333333,0.375,0.5,0.571429,1.0,100000
catalog,0.35,22708,8051357,18.4772,709.1208,19,22690,99.9207,18,0.35,1.0,0.491216,0.4,0.444444,0.5,0.666667,1.0,100000
catalog,0.4,22708,6834544,15.6847,601.9503,74,22635,99.6785,73,0.4,1.0,0.512463,0.4,0.5,0.5,0.666667,1.0,100000
community,0.002,22708,1302892,100.0,114.7518,1,22708,100.0,0,0.002,0.57971,0.006034,0.002548,0.00355,0.006024,0.011364,0.035714,100000
